latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
51.69748,8.74887,296.8,0.4,0.4,2017-04-28,0118,N,nominal,1.0NRT,274.5,0.4,N
51.76556,8.05621,303.9,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,276,1.1,N
51.59908,8.3357,297.6,0.4,0.4,2017-04-28,0118,N,nominal,1.0NRT,275.4,0.8,N
51.59554,8.33464,301.5,0.4,0.4,2017-04-28,0118,N,nominal,1.0NRT,275.7,0.8,N
51.59201,8.33359,300.8,0.4,0.4,2017-04-28,0118,N,nominal,1.0NRT,273.5,0.8,N
51.50491,6.73423,301.7,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,277.9,1.2,N
51.50417,6.74141,297,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,277.6,1.2,N
51.50192,6.72596,304.2,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,282.2,1.8,N
51.49671,6.73939,302.1,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,276.4,1.4,N
51.49298,6.73837,308.4,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,276.7,1.4,N
51.50514,6.73568,299.9,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,278,1.5,N
51.50219,6.72745,303,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,281.6,1.5,N
51.49692,6.74084,307.7,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,277.1,1.5,N
51.49319,6.73982,304,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,276.6,1.5,N
51.48947,6.7388,298.2,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,274.6,0.8,N
51.48878,6.70908,297.2,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,276.9,1.3,N
51.48504,6.7081,340.2,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,279.8,4.6,N
51.48353,6.72244,322,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,277.7,1.8,N
51.4858,6.70088,316.1,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,275.5,4.5,N
51.48131,6.70708,301.5,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,274.7,4.6,N
51.4798,6.72142,310.5,0.5,0.4,2017-04-28,0118,N,nominal,1.0NRT,273.8,1.8,N
